file,block,muts,py,diff,rat,mcc,lines,variance,min,max,range,avgmutsperblock,bcharm,colons,indent,ifthenelse,assign,brackets,parens,dots,longstrings,tests,words,numbers,strings,braces,du,arith,comment,empty,idelta,commas,linelen,fdelta,lcc
_home_joshua_ucPython_lib_python2_7_locale_py,_replace_encoding,1375,1273,-102,-1.02,2,15,0.075297520661157,-0.64,0.36,1,7492.30769230769,-0.0136139630390144,4,2.13333333333333,2,5,2,10,6,0,0,28,0,6,0,0,2,0,0,1,3,462,0,0
_home_joshua_ucPython_lib_python2_7_locale_py,_strip_padding,1250,1292,42,0.42,5,10,0.033416,-0.3,0.44,0.74,7492.30769230769,0.00560574948665298,4,1.3,0,6,6,4,0,0,2,7,7,4,0,0,2,0,0,0,1,232,0,0
_home_joshua_ucPython_lib_python2_7_locale_py,_test,750,748,-2,-0.02,1,8,0.0339472222222222,-0.3,0.31,0.61,7492.30769230769,-0.00026694045174538,1,0.625,0,2,0,12,1,0,0,6,9,7,0,0,1,0,0,0,7,145,0,0
_home_joshua_ucPython_lib_python2_7_locale_py,_unicode,250,234,-16,-0.16,1,2,0,-0.08,-0.08,0,7492.30769230769,-0.00213552361396304,1,1.5,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,39,-1,0
_home_joshua_ucPython_lib_python2_7_locale_py,atof,1125,1117,-8,-0.08,3,12,0.0352,-0.39,0.39,0.78,7492.30769230769,-0.00106776180698152,3,0.833333333333333,2,5,4,12,2,0,0,16,0,9,0,0,0,0,0,0,3,293,0,0
_home_joshua_ucPython_lib_python2_7_locale_py,atoi,375,367,-8,-0.08,1,3,0.138288888888889,-0.47,0.44,0.91,7492.30769230769,-0.00106776180698152,1,0.666666666666667,0,0,0,4,0,0,0,8,0,1,0,0,0,0,0,0,1,110,0,0
_home_joshua_ucPython_lib_python2_7_locale_py,currency,4125,4030,-95,-0.95,25,44,0.0287375,-0.63,0.4,1.03,7492.30769230769,-0.0126796714579055,11,1.18181818181818,11,21,12,24,3,1,16,48,10,59,0,0,13,0,0,0,10,1242,-8,0
_home_joshua_ucPython_lib_python2_7_locale_py,format,1000,922,-78,-0.78,3,12,0.127383673469388,-0.74,0.36,1.1,7492.30769230769,-0.0104106776180698,2,1,3,3,0,20,2,1,1,16,0,4,0,0,6,0,0,-5,9,438,0,0
_home_joshua_ucPython_lib_python2_7_locale_py,format_string,3751,3530,-221,-2.21,7,33,0.0588449464922711,-0.74,0.41,1.15,7492.30769230769,-0.0294969199178645,11,2.84848484848485,8,10,12,42,12,1,2,34,6,15,0,0,14,0,0,0,12,1051,-2,0
_home_joshua_ucPython_lib_python2_7_locale_py,getdefaultlocale,2875,2855,-20,-0.2,11,51,0.0425793388429752,-0.84,0.48,1.32,7492.30769230769,-0.0026694045174538,11,0.745098039215686,5,7,4,18,6,1,3,34,5,18,0,0,0,0,0,-1,8,741,-1,0
_home_joshua_ucPython_lib_python2_7_locale_py,getlocale,876,871,-5,-0.05,3,17,0.116291666666667,-0.72,0.43,1.15,7492.30769230769,-0.00066735112936345,2,0.352941176470588,1,2,0,6,0,1,1,17,0,5,0,0,0,0,0,0,1,285,0,0
_home_joshua_ucPython_lib_python2_7_locale_py,getpreferredencoding,2726,2700,-26,-0.26,1,4,0.002749,-0.11,0.1,0.21,7492.30769230769,-0.00347022587268994,7,16,2,5,4,20,1,4,0,27,2,4,0,0,0,0,0,7,4,821,-4,0
_home_joshua_ucPython_lib_python2_7_locale_py,localeconv,3374,2425,-949,-9.49,1,23,0.0700792899408284,-0.64,0.28,0.92,7492.30769230769,-0.126663244353183,21,3.39130434782609,1,1,4,12,2,1,0,13,9,53,2,0,0,0,0,4,17,863,0,0
_home_joshua_ucPython_lib_python2_7_locale_py,normalize,6753,6733,-20,-0.2,20,83,0.0128245639017444,-0.71,0.35,1.06,7492.30769230769,-0.0026694045174538,25,1.36144578313253,35,22,4,44,15,1,2,90,6,55,0,0,12,0,0,0,20,1924,-3,0
_home_joshua_ucPython_lib_python2_7_locale_py,resetlocale,497,476,-21,-0.21,1,9,0.189488888888889,-0.72,0.34,1.06,7492.30769230769,-0.00280287474332649,1,0.222222222222222,0,1,0,8,0,1,0,8,0,1,0,0,0,0,0,0,1,156,-2,0
_home_joshua_ucPython_lib_python2_7_locale_py,setlocale,1500,1486,-14,-0.14,2,7,0.063969,-0.72,0.36,1.08,7492.30769230769,-0.00186858316221766,4,2.14285714285714,2,4,0,18,0,2,0,23,0,12,0,0,0,0,0,-2,7,461,0,0
_home_joshua_ucPython_lib_python2_7_locale_py,str,375,369,-6,-0.06,1,3,0.115266666666667,-0.42,0.41,0.83,7492.30769230769,-0.00080082135523614,1,0.666666666666667,0,0,0,4,0,2,0,6,1,3,0,0,1,0,0,0,2,111,0,0
_home_joshua_ucPython_lib_python2_7_locale_py,strcoll,500,490,-10,-0.1,1,5,0.00175555555555556,-0.09,0.01,0.1,7492.30769230769,-0.0013347022587269,1,1,0,0,0,6,0,1,0,5,0,1,0,0,0,0,0,0,3,86,0,0
_home_joshua_ucPython_lib_python2_7_locale_py,strxfrm,500,488,-12,-0.12,1,5,0.000955555555555556,-0.1,-0.03,0.07,7492.30769230769,-0.00160164271047228,1,1,0,0,0,4,0,1,0,4,0,1,0,0,0,0,0,0,0,73,0,0
_home_joshua_ucPython_lib_python2_7__weakrefset_py,WeakSet,18143,17801,-342,-3.42,2,170,0.007660400600383,-0.75,0.12,0.87,569.444444444444,-0.600585365853659,63,1.70588235294118,32,23,2,210,81,0,4,197,1,4,0,60,1,0,0,-2,34,4638,-28,0
